avID,man,aut,year,mon,day,rain24hr,fogflag,min_vis,fg_onset,fg_finish,fg_duration,wind5,T5,Td5,RH5,QNH5,pptn5,wind8,T8,Td8,RH8,QNH8,pptn8,wind11,T11,Td11,RH11,QNH11,pptn11,wind14,T14,Td14,RH14,QNH14,pptn14,wind17,T17,Td17,RH17,QNH17,pptn17,wind20,T20,Td20,RH20,QNH20,pptn20
YSHL  , 0, 2, 2009, 01, 26,    0.0, YES,   4.60, 17.52, 18.45, 00.53, 120/09, 26.3, 19.7, 67,1019.7,   0.0,160/07, 23.0, 19.4, 80,1020.7,   0.0,170/08, 21.5, 19.6, 89,1022.4,   0.0,190/05, 21.2, 18.0, 82,1021.1,   0.0,000/00, 19.6, 18.9, 96,1020.3,   0.0,000/00, 19.5, 19.2, 98,1021.1,   0.2
YSHL  , 0, 2, 2009, 04, 01,    0.8, YES,   5.00, 14.49, 15.20, 00.31, 120/09, 23.1, 18.4, 75,1022.6,   0.4,130/05, 21.2, 18.8, 86,1023.4,   1.0,070/09, 20.2, 19.2, 94,1024.3,   1.8,090/09, 19.7, 19.4, 98,1023.8,  12.2,180/03, 19.6, 19.3, 98,1022.5,  14.8,100/05, 20.8, 19.8, 94,1023.2,  14.8
YSHL  , 0, 9, 2009, 04, 13,   29.8, YES,   0.10, 16.49, 20.15, 03.26, 170/07, 21.3, 17.7, 80,1019.8,   9.6,070/06, 18.9, 17.9, 94,1019.6,  12.2,000/00, 17.9, 17.6, 98,1019.1,  25.6,000/00, 17.9, 17.7, 99,1017.2,  27.4,000/00, 17.4, 17.4,100,1014.9,  29.6,290/03, 15.1, 15.1,100,1015.2,  29.6
YSHL  , 0, 3, 2009, 06, 03,    1.6, YES,   0.50, 14.45, 17.45, 03.00, 250/04, 16.6, 15.8, 95,1022.3,   1.2,250/04, 14.8, 14.3, 97,1022.5,   1.2,000/00, 14.2, 14.0, 99,1022.9,   1.4,000/00, 13.2, 13.0, 99,1021.4,   1.4,290/01,  9.9,  9.8, 99,1020.2,   1.4,000/00,  9.1,  9.1,100,1020.1,   1.6
YSHL  , 0, 1, 2009, 08, 11,    0.6, YES,   0.30, 13.45, 14.15, 00.30, 040/09, 18.1, 10.0, 59,1011.2,   0.2,000/00, 14.2, 10.4, 78,1010.9,   0.2,260/04, 12.3, 10.5, 89,1012.1,   0.4,000/00,  6.9,  6.6, 98,1011.7,   0.4,220/05,  6.1,  6.0, 99,1010.6,   0.6,210/04,  5.1,  3.6, 90,1011.2,   0.6
YSHL  , 0, 2, 2009, 10, 06,    0.0, YES,   0.90, 10.06, 10.45, 00.39, 140/06, 14.9, 11.5, 80,1016.3,   0.4,310/05, 13.4, 12.5, 94,1016.8,   4.8,220/05, 11.3, 11.3,100,1017.6,   5.2,230/07, 10.8,  8.0, 83,1017.0,   7.0,210/05,  6.9,  6.6, 98,1014.4,   7.0,000/00,  5.8,  5.5, 98,1014.6,   7.2
YSHL  , 0, 1, 2009, 11, 01,    0.0, YES,   0.80, 18.15, 18.45, 00.30, 060/14, 23.1, 17.6, 71,1018.4,   0.0,060/05, 21.7, 17.3, 76,1018.9,   0.0,080/04, 20.0, 17.0, 83,1021.0,   0.0,000/00, 17.2, 16.1, 93,1020.6,   0.0,000/00, 15.0, 14.5, 97,1019.6,   0.0,000/00, 16.3, 16.3,100,1020.6,   0.0
YSHL  , 0, 1, 2009, 11, 04,    2.4, YES,   2.40, 03.45, 04.15, 00.30, 090/05, 16.6, 16.1, 97,1015.6,   0.8,150/04, 16.6, 16.3, 98,1016.4,   1.0,230/03, 16.6, 16.6,100,1018.5,   2.2,000/00, 16.6, 16.4, 99,1018.9,   2.8,150/06, 16.2, 15.7, 97,1018.8,   4.8,150/07, 15.9, 15.7, 99,1020.4,  11.6
YSHL  , 0, 1, 2009, 11, 08,    0.0, YES,   0.60, 13.15, 13.45, 00.30, 060/06, 21.6, 17.8, 79,1028.3,   0.0,050/11, 19.9, 18.2, 90,1028.4,   0.0,270/03, 18.9, 17.6, 92,1028.5,   0.0,280/02, 14.7, 14.2, 97,1027.4,   0.0,260/05, 16.6, 16.6,100,1026.5,   0.0,000/00, 16.3, 16.3,100,1026.7,   0.0
YSHL  , 0, 2, 2010, 02, 07,    0.8, YES,   2.40, 21.45, 22.45, 01.00, 160/07, 24.2, 20.5, 80,1020.9,   2.2,170/05, 23.1, 21.5, 91,1021.1,   2.2,000/00, 22.9, 21.7, 93,1022.7,   2.2,360/02, 22.7, 21.9, 95,1022.5,   2.4,100/03, 22.3, 21.8, 97,1021.5,   3.8,000/00, 22.1, 21.9, 99,1022.4,   4.2
