avID,man,aut,year,mon,day,rain24hr,fogflag,min_vis,fg_onset,fg_finish,fg_duration,wind5,T5,Td5,RH5,QNH5,pptn5,wind8,T8,Td8,RH8,QNH8,pptn8,wind11,T11,Td11,RH11,QNH11,pptn11,wind14,T14,Td14,RH14,QNH14,pptn14,wind17,T17,Td17,RH17,QNH17,pptn17,wind20,T20,Td20,RH20,QNH20,pptn20
YSSY  , 0, 11, 2001, 07, 12,    0.0, YES,   0.20, 18.45, 24.15, 05.30, 030/08, 17.4, 12.7, 74,1022.7,   0.0,250/03, 14.2, 12.4, 89,1022.8,   0.2,320/04, 13.3, 10.7, 84,1023.2,   0.2,350/06, 11.2, 10.0, 92,1023.0,   0.2,340/04, 10.2,  9.8, 97,1021.7,   0.2,320/06,  9.4,  9.4,100,1022.1,   0.2
YSSY  , 0, 7, 2001, 07, 26,    0.0, YES,   3.50, 17.36, 20.15, 02.39, 160/03, 15.3, 14.9, 97,1018.9,   4.4,200/06, 14.9, 14.7, 99,1017.8,   6.6,200/05, 14.6, 14.4, 99,1016.8,  10.6,180/13, 15.1, 14.4, 96,1014.5,  12.6,260/05, 14.1, 13.6, 97,1012.2,  13.8,280/06, 13.5, 13.0, 97,1011.7,  13.8
YSSY  , 0, 4, 2001, 09, 28,    0.0, YES,   0.90, 19.35, 21.15, 01.40, 090/09, 18.3,  9.0, 55,1024.8,   0.0,080/08, 16.6,  8.5, 59,1024.8,   0.0,040/05, 15.4,  8.3, 63,1025.6,   0.0,300/06, 14.2,  9.1, 71,1025.0,   0.0,360/05, 11.9,  8.8, 81,1023.4,   0.0,320/04, 11.6,  8.8, 83,1023.8,   0.0
YSSY  , 1, 4, 2002, 02, 07,    0.0, YES,   1.30, 20.20, 22.15, 01.55, 020/18, 22.8, 17.9, 74,1007.2,   2.2,020/15, 23.0, 17.9, 73,1005.9,   2.2,010/07, 22.6, 19.0, 80,1006.8,  18.4,340/05, 21.2, 19.0, 87,1005.0,   2.2,340/06, 18.6, 18.1, 97,1002.0,   2.2,260/03, 18.4, 17.9, 97,1001.9,   2.2
YSSY  , 0, 4, 2002, 03, 28,    0.0, YES,   0.30, 17.15, 19.05, 01.50, 100/07, 23.5, 18.8, 75,1011.4,   5.6,030/04, 21.8, 18.7, 83,1012.7,   5.6,240/04, 20.8, 18.9, 89,1013.6,   0.0,270/06, 19.7, 18.4, 92,1012.5,   5.8,300/05, 18.9, 17.9, 94,1010.7,   5.8,320/05, 18.5, 17.7, 95,1010.8,   5.8
YSSY  , 0, 9, 2002, 04, 24,    0.0, YES,   0.05, 18.35, 22.15, 03.40, 090/08, 25.9, 16.4, 56,1014.5,   0.0,020/03, 21.3, 17.9, 81,1015.6,   0.0,060/04, 19.7, 18.0, 90,1017.2,   0.0,000/00, 18.6, 17.1, 91,1017.1,   0.0,340/06, 17.7, 16.4, 92,1016.4,   0.0,310/08, 16.1, 16.1,100,1017.4,   0.0
YSSY  , 0, 8, 2002, 05, 05,    0.0, YES,   0.10, 17.37, 21.08, 03.31, 060/10, 21.7, 14.9, 65,1021.8,   0.0,020/08, 19.4, 15.4, 78,1022.1,   0.0,360/07, 18.6, 14.6, 78,1022.7,   0.0,300/03, 16.5, 14.8, 90,1022.2,   0.0,330/06, 14.6, 13.9, 96,1021.5,   0.0,320/08, 13.6, 13.5, 99,1022.1,   0.0
YSSY  , 0, 3, 2002, 05, 15,       , YES,   0.50, 19.07, 20.44, 01.37, 180/09, 17.4, 15.4, 88,1016.4,   2.8,170/06, 16.1, 14.6, 91,1016.2,   2.8,290/07, 15.3, 13.9, 91,1016.3,   2.8,340/06, 14.4, 13.3, 93,1015.5,   2.8,310/06, 13.5, 12.8, 96,1014.1,   2.8,330/06, 12.2, 12.2,100,1013.7,   2.8
YSSY  , 0, 2, 2002, 06, 04,    0.0, YES,   1.50, 18.15, 19.15, 01.00, 090/08, 19.3, 11.2, 59,1027.9,   0.0,020/08, 17.1, 12.0, 72,1028.2,   0.0,340/04, 15.1, 12.2, 83,1028.6,   0.0,320/04, 12.7, 11.0, 89,1027.9,   0.0,360/05, 10.8, 10.4, 97,1027.4,   0.0,330/08,  9.9,  9.1, 95,1026.8,   0.0
YSSY  , 0, 5, 2002, 09, 22,    0.0, YES,   4.00, 18.37, 20.45, 02.08, 030/18, 23.4, 10.6, 44,1012.6,   0.0,020/16, 19.4, 14.8, 75,1012.9,   0.0,360/11, 19.3, 15.2, 77,1014.3,   0.0,350/05, 17.2, 14.5, 84,1014.0,   0.0,020/03, 14.5, 13.4, 93,1012.5,   0.0,170/13, 15.6, 14.9, 96,1013.2,   0.0
